fl_date	mkt_unique_carrier	branded_code_share	mkt_carrier	mkt_carrier_fl_num	op_unique_carrier	tail_num	op_carrier_fl_num	origin_airport_id	origin	origin_city_name	dest_airport_id	dest	dest_city_name	crs_dep_time	dep_time	dep_delay	taxi_out	wheels_off	wheels_on	taxi_in	crs_arr_time	arr_time	arr_delay	cancelled	cancellation_code	diverted	dup	crs_elapsed_time	actual_elapsed_time	air_time	flights	distance	carrier_delay	weather_delay	nas_delay	security_delay	late_aircraft_delay	first_dep_time	total_add_gtime	longest_add_gtime	no_name
2018-10-28	F9	F9	F9	641	F9	N228FR	641	14193	PNS	Pensacola, FL	11292	DEN	Denver, CO	1211	1207	-4	16	1223	1420	11	1423	1431	8	0		0	N	192	204	177	1	1179									
2019-10-30	UA	UA	UA	2065	UA	N16009	2065	14771	SFO	San Francisco, CA	11618	EWR	Newark, NJ	915	1046	91	24	1110	1837	10	1730	1847	77	0		0	N	315	301	267	1	2565	0	0	77	0	0				
2019-06-22	UA	UA_CODESHARE	UA	3433	YX	N650RW	3433	10994	CHS	Charleston, SC	11618	EWR	Newark, NJ	605	735	90	11	746	911	11	758	922	84	0		0	N	113	107	85	1	628	84	0	0	0	0				
2018-04-02	WN	WN	WN	1799	WN	N434WN	1799	12892	LAX	Los Angeles, CA	14831	SJC	San Jose, CA	710	708	-2	14	722	812	4	820	816	-4	0		0	N	70	68	50	1	308									
2019-11-23	UA	UA_CODESHARE	UA	4078	EV	N610UX	4078	12953	LGA	New York, NY	13930	ORD	Chicago, IL	1800	1756	-4	21	1817	1917	10	1948	1927	-21	0		0	N	168	151	120	1	733									
2019-04-11	AA	AA_CODESHARE	AA	2977	OO	N718SK	2977	13930	ORD	Chicago, IL	11977	GRB	Green Bay, WI	1650	1647	-3	17	1704	1734	4	1749	1738	-11	0		0	N	59	51	30	1	174									
2018-03-17	UA	UA_CODESHARE	UA	4901	C5	N33182	4901	11996	GSP	Greer, SC	11618	EWR	Newark, NJ	1705	1736	31	21	1757	1926	12	1900	1938	38	0		0	N	115	122	89	1	594	0	0	7	0	31				
2019-12-26	AA	AA_CODESHARE	AA	5167	OH	N720PS	5167	10980	CHA	Chattanooga, TN	11057	CLT	Charlotte, NC	750	748	-2	10	758	845	19	913	904	-9	0		0	N	83	76	47	1	241									
2019-05-12	UA	UA	UA	1526	UA	N568UA	1526	11618	EWR	Newark, NJ	14771	SFO	San Francisco, CA	2100	2058	-2	23	2121	2355	7	25	2	-23	0		0	N	385	364	334	1	2565									
2019-01-22	DL	DL	DL	395	DL	N396DA	395	14869	SLC	Salt Lake City, UT	14570	RNO	Reno, NV	2041	2039	-2	22	2101	2101	5	2122	2106	-16	0		0	N	101	87	60	1	422									
2018-06-23	DL	DL_CODESHARE	DL	5035	9E	N918XJ	5035	13204	MCO	Orlando, FL	13244	MEM	Memphis, TN	1115	1124	9	19	1143	1221	5	1214	1226	12	0		0	N	119	122	98	1	684									
2019-11-17	DL	DL	DL	1588	DL	N358NW	1588	12266	IAH	Houston, TX	10397	ATL	Atlanta, GA	1958	2008	10	23	2031	2250	7	2255	2257	2	0		0	N	117	109	79	1	689									
2019-02-14	DL	DL	DL	1197	DL	N3740C	1197	14057	PDX	Portland, OR	14869	SLC	Salt Lake City, UT	1706	1709	3	15	1724	1958	9	1945	2007	22	0		0	N	99	118	94	1	630	0	0	22	0	0				
2019-02-16	DL	DL_CODESHARE	DL	3588	OO	N803SK	3588	10627	BIS	Bismarck/Mandan, ND	13487	MSP	Minneapolis, MN	900	849	-11	15	904	1002	8	1039	1010	-29	0		0	N	99	81	58	1	386									
2019-12-25	AA	AA_CODESHARE	AA	2975	OO	N772SK	2975	11423	DSM	Des Moines, IA	13930	ORD	Chicago, IL	930	921	-9	9	930	1023	10	1056	1033	-23	0		0	N	86	72	53	1	299									
2019-06-11	UA	UA	UA	1740	UA	N14214	1740	13930	ORD	Chicago, IL	14908	SNA	Santa Ana, CA	817	813	-4	19	832	1020	4	1039	1024	-15	0		0	N	262	251	228	1	1726									
2019-10-22	AA	AA	AA	1826	AA	N847NN	1826	15096	SYR	Syracuse, NY	11057	CLT	Charlotte, NC	1201	1201	0	18	1219	1412	9	1410	1421	11	0		0	N	129	140	113	1	603									
2018-04-03	AA	AA	AA	1694	AA	N752US	1694	12892	LAX	Los Angeles, CA	14107	PHX	Phoenix, AZ	1125	1124	-1	22	1146	1241	8	1300	1249	-11	0		0	N	95	85	55	1	370									
