,arr_delay
1457,3.0
1458,-10.0
1459,80.0
1460,-23.0
1461,39.0
1462,-10.0
1463,-18.0
1464,94.0
1465,12.0
1466,-38.0
1467,-17.0
1468,-17.0
1469,
1470,-2.0
1471,-8.0
1472,-5.0
1473,-4.0
1474,-18.0
1475,-14.0
1476,29.0
1477,-16.0
1478,-14.0
1479,-18.0
1480,-19.0
1481,258.0
1482,-13.0
1483,-13.0
1484,6.0
1485,-3.0
1486,-10.0
1487,-4.0
1488,-9.0
1489,-39.0
1490,-9.0
1491,5.0
1492,-20.0
1493,-26.0
1494,103.0
1495,-6.0
1496,-7.0
1497,8.0
1498,-19.0
1499,4.0
1500,-5.0
1501,-13.0
1502,-11.0
1503,24.0
1504,-9.0
1505,-11.0
1506,1.0
1507,-18.0
1508,-28.0
1509,-12.0
1510,-23.0
1511,-6.0
1512,-2.0
1513,-12.0
1514,-10.0
1515,-20.0
1516,-9.0
1517,-7.0
1518,4.0
1519,-13.0
1520,49.0
1521,-2.0
1522,-2.0
1523,0.0
1524,-4.0
1525,60.0
1526,-11.0
1527,10.0
1528,-10.0
1529,22.0
1530,22.0
1531,53.0
1532,-14.0
1533,-34.0
1534,-25.0
1535,-6.0
1536,-14.0
1537,88.0
1538,19.0
1539,-3.0
1540,-5.0
1541,18.0
1542,2.0
1543,-8.0
1544,-1.0
1545,-3.0
1546,-9.0
1547,30.0
1548,-27.0
1549,113.0
1550,7.0
1551,7.0
1552,-3.0
1553,32.0
1554,-6.0
1555,16.0
1556,4.0
1557,-12.0
1558,4.0
1559,21.0
1560,4.0
1561,3.0
1562,42.0
1563,-16.0
1564,-8.0
1565,-34.0
1566,31.0
1567,0.0
1568,45.0
1569,37.0
1570,79.0
1571,0.0
1572,-4.0
1573,10.0
1574,-17.0
1575,-2.0
1576,10.0
1577,-8.0
1578,-12.0
1579,-1.0
1580,-11.0
1581,-5.0
1582,28.0
1583,-33.0
1584,20.0
1585,-1.0
1586,-11.0
1587,3.0
1588,-5.0
1589,76.0
1590,-7.0
1591,-26.0
1592,104.0
1593,-17.0
1594,-5.0
1595,-32.0
1596,-14.0
1597,12.0
1598,-11.0
1599,38.0
1600,-26.0
1601,11.0
1602,-16.0
1603,-13.0
1604,-20.0
1605,-3.0
1606,-10.0
1607,-4.0
1608,55.0
1609,8.0
1610,-2.0
1611,-20.0
1612,-7.0
1613,292.0
1614,-22.0
1615,-13.0
1616,13.0
1617,27.0
1618,-12.0
1619,-16.0
1620,-2.0
1621,-10.0
1622,-10.0
1623,12.0
1624,-5.0
1625,-19.0
1626,-3.0
1627,-14.0
1628,-3.0
1629,-13.0
1630,36.0
1631,5.0
1632,3.0
1633,-16.0
1634,-14.0
1635,-12.0
1636,-29.0
1637,-15.0
1638,-12.0
1639,0.0
1640,0.0
1641,-18.0
1642,3.0
1643,-11.0
1644,-16.0
1645,-14.0
1646,-24.0
1647,30.0
1648,4.0
1649,-14.0
1650,187.0
1651,-13.0
1652,23.0
1653,5.0
1654,-28.0
1655,-13.0
1656,13.0
1657,-11.0
1658,0.0
1659,55.0
1660,-8.0
1661,-17.0
1662,6.0
1663,-10.0
1664,17.0
1665,-17.0
1666,-26.0
1667,-36.0
1668,-19.0
1669,-3.0
1670,-12.0
1671,-17.0
1672,-8.0
1673,-27.0
1674,-16.0
1675,-21.0
1676,-28.0
1677,-9.0
1678,-16.0
1679,277.0
1680,104.0
1681,1.0
1682,-5.0
1683,-7.0
1684,37.0
1685,-6.0
1686,-18.0
1687,4.0
1688,-8.0
1689,-4.0
1690,14.0
1691,-26.0
1692,5.0
1693,-11.0
1694,-8.0
1695,3.0
1696,45.0
1697,-7.0
1698,-12.0
1699,377.0
1700,14.0
1701,-16.0
1702,-18.0
1703,12.0
1704,12.0
1705,30.0
1706,-7.0
1707,37.0
1708,-4.0
1709,-29.0
1710,-3.0
1711,-5.0
1712,-24.0
1713,-17.0
1714,-19.0
1715,-19.0
1716,-17.0
1717,-15.0
